g007579
g019366
g014078
g000928
g002936
g000504
g006705
g007656
g016675
g001493
g001866
g007443
g016811
g006929
g019478
g005225
g021062
g007992
g003480
g037809
g000846
g018378
g000985
g002616
g006254
g001878
g011833
g041379
g011028
g003575
g016835
g042376
g010262
g007773
g005448
g000838
g003997
g002583
g001751
g000565
g004701
g002287
g003080
g012572
g008520
g020937
g001208
g007693
g027950
g007519
g005816
g002458
g000469
g004949
g015616
g015732
g064824
g000318
g005752
g018529
g001667
g008830
g006378
g005456
g007234
g017456
g002684
g007569
g003333
g006110
g021127
g005157
g008730
g000629
g004912
g008443
g026750
g001362
g029024
g003056
g026849
g010695
g003288
g001991
g010970
g007793
g007256
g014654
g004526
g005486
g005294
g008394
g001864
g008239
g004325
g010042
g008695
g009961
g001429
g030000
g001842
g012008
g003182
g001489
g006773
g000389
g008662
g002552
g016251
g028697
g000491
g007606
g004473
g007880
g005642
g006377
g010073
g004123
g003401
g006448
g002107
g000463
g001954
g014645
g021652
g014335
g008057
g012386
g009579
g022588
g015156
g007922
g003001
g007279
g020521
g006949
g004889
g049819
g007088
g015440
g002071
g005391
g011909
g010122
g001437
g012791
g011040
g004161
g003055
g003777
g005733
g000498
g001608
g017328
g004091
g007179
g009220
g022425
g011962
g001675
g013489
g001116
g002871
g006171
g000184
g005703
g002455
g000946
g012844
g001319
g011945
g003591
g017291
g009483
g003377
g011412
g012876
g002724
g003397
g005725
g006035
g006115
g001254
g005028
g003758
g012547
g009982
g004823
g010129
g016120
g008037
g002845
g005803
g013233
g001037
g001177
g018718
g002634
g005591
g001322
g016405
g006893
g005717
g003978
g007903
g001627
g000444
g008846
g003624
g000377
g006006
g002839
g021248
g000513
g014899
g004613
g012727
g004873
g000139
g001517
g009235
g021027
g013064
g001937
g002464
g003734
g004101
g006106
g000945
g004160
g005425
g005849
g011726
g005247
g009929
g003247
g001126
g021701
g005435
g004645
g008479
g008266
g000709
g020595
g003942
g003945
g004053
g003195
g000834
g007087
g003226
g000099
g002646
g003045
g013585
g006545
g010925
g029771
g004746
g003790
g000345
g002170
g017673
g010059
g031932
g000151
g030038
g009554
g035720
g002418
g028562
g010887
g013323
g009232
g011681
g002131
g002313
g005270
g016989
g008006
g000777
g001685
g001715
g005546
g005166
g016064
g005649
g007859
g005316
g007202
g004881
g003723
g002304
g005021
g005272
g001337
g002543
g015623
g018308
g001291
g005846
g009609
g007306
g003700
g053099
g019156
g006279
g000457
g001190
g005176
g003824
g005271
g004506
g017323
g005088
g002145
g001791
g029750
g007298
g007176
g000183
g012244
g004780
g010178
g052650
g002885
g000290
g005964
g016648
g001664
g000443
g006930
g030133
g001242
g000401
g012243
g001928
g021447
g001097
g000977
g003257
g007513
g002619
g011778
g011907
g008961
g014690
g007251
g001668
g005472
g019351
g005161
g005287
g005344
g010546
g015386
g001246
g008832
g003646
g001112
g004013
g015806
g002893
g004588
g006352
g001901
g000849
g005860
g001188
g008242
g010759
g024850
g004397
g008032
g006830
g014192
g002168
g016651
g006047
g022857
g002869
g000855
g004087
g004519
g001054
g001581
g015254
g001114
g007813
g006696
g008355
g014477
g002617
g008357
g002269
g008278
g001496
g002055
g014776
g016943
g005178
g010393
g006223
g055448
g001079
g004510
g003023
g003650
g011757
g001686
g003191
g009276
g000448
g015212
g002879
g002797
g001264
g001877
g026026
g009165
g000760
g001977
g000471
g000986
g000847
g001334
g003140
g021202
g001046
g003365
g000247
g002612
g014364
g001950
g000939
g029821
g000983
g002792
g035977
g011368
g002800
g030055
g003408
g003705
g010645
g003495
g012095
g005180
g005948
g009331
g003673
g016013
g008048
g054406
g003392
g020798
g004061
g010883
g020142
g014358
g006953
g022798
g021207
g002175
g016069
g005510
g007078
g006160
g010988
g001430
g006505
g001998
g029432
g000736
g029249
g057436
g006358
g008012
g003473
g003117
g002119
g008170
g003736
g012723
g008665
g017295
g001681
g000790
g001885
g007596
g007784
g003737
g005748
g003090
g001090
g061709
g015476
g011673
g007781
g003378
g006375
g006088
g000657
g028841
g002596
g003935
g000623
g002818
g003478
g004343
g009790
g006897
g018642
g004147
g021643
g005365
g006885
g001757
g011221
g000910
g015102
g009977
g001521
g012808
g007899
g002592
g018103
g004583
g020719
g017886
g012356
g009139
g005274
g003238
g009892
g002687
g005185
g001428
g001999
g010094
g000681
g002138
g015926
g018048
g017455
g008073
g007548
g003869
g004184
g026292
g012213
g004236
g008300
g006665
g010159
g066105
g009383
g004106
g002667
g003654
g002039
g000609
g010186
g008208
g001182
g007237
g029605
g006063
g014127
g004726
g009748
g012963
g002977
g010704
g008912
g015586
g007827
g018059
g007818
g019204
g002426
g022566
g007203
g003300
g006028
g017257
g004439
g006286
g007387
g019278
g016732
g001811
g001421
g019656
g021162
g006045
g025690
g014019
g002192
g004408
g002446
g017660
g008340
g000716
g008917
g001392
g006834
g030529
g014874
g000384
g013639
g012734
g006482
g004070
g019459
g003179
g000011
g012986
g020452
g005096
g007877
g002599
g007841
g002958
g002980
g022578
g009495
g014927
g014052
g006985
g007198
g001455
g005454
g001648
g003223
g014971
g003955
g001015
g002528
g017974
g002097
g000065
g004380
g008580
g014408
g011885
g001185
g007609
g016992
g008700
g000069
g000254
g002581
g005831
g020231
g004138
g026617
g011126
g005405
g004641
g001120
g011619
g005578
g004580
g000037
g008584
g008771
g002525
g000570
g006817
g008876
g000726
g006289
g002570
g004907
g001458
g016672
g015217
g013718
g004850
g002354
g017034
g009336
g014873
g013248
g001085
g006155
g001424
g000523
g001479
g006102
g006318
g004490
g002649
g022822
g004496
g014181
g003177
g002915
g003248
g006846
g022809
g004509
g018738
g015340
g009471
g000025
g000747
g021064
g013127
g001500
g003268
g010902
g003556
g003187
g009958
g014991
g011208
g024370
g001443
g011467
g002808
g003089
g002153
g018729
g004092
g015499
g016563
g008142
g000215
g014405
g025046
g000360
g011586
g028189
g018090
g008831
g006601
g004164
g003382
g000734
g001465
g002754
g002580
g003782
g007765
g003711
g016227
g009809
g003206
g001679
g015155
g002857
g012061
g023159
g002501
g015150
g005049
g006066
g000228
g014852
g002487
g020860
g004539
g009403
g009621
g026251
g012058
g013775
g005802
g014947
g000925
g010749
g011265
g014869
g003385
g002948
g007884
g002863
g020829
g005326
g005211
g002479
g019699
g012328
g020426
g001780
g005094
g003254
g001364
g000507
g001277
g008691
g002781
g002900
g001335
g002559
g002211
g014804
g007598
g000908
g006999
g005412
g029204
g012037
g005117
g012157
g002954
g005995
g052303
g000556
g002671
g007215
g023219
g005036
g006826
g014571
g001582
g022145
g002558
g001346
g013318
g000070
g001542
g010116
g005372
g000226
g002171
g004883
g011050
g006384
g002240
g014145
g002353
g006139
g003707
g002251
g064848
g002113
g017694
g019057
g001571
g006984
g002772
g020174
g015804
g003728
g030221
g000567
g013555
g001354
g009492
g003506
g002271
g008197
g009072
g010560
g005628
g021210
g023840
g000578
g009534
g005022
g000727
g000771
g002749
g007083
g001899
g000173
g021135
g002956
g001787
g010817
g000627
g002461
g002305
g000435
g005719
g005396
g009990
g000455
g011741
g007764
g004406
g021351
g004329
g008455
g006244
g001404
g005158
g001829
g002045
g002794
g009323
g011805
g005169
g008198
g012156
g006640
g017225
g004226
g046430
g012889
g000350
g004449
g004084
g007808
g017450
g001382
g004116
g008668
g000194
g001224
g004957
g016937
g000759
g007800
g003715
g002846
g000653
g014630
g010553
g001688
g002365
g002821
g000722
g002216
g015397
g030224
g012533
g000331
g001793
g014809
g021353
g001178
g002072
g000895
g002651
g006913
g008152
g044514
g026537
g001727
g004024
g003552
g030181
g006456
g000158
g002753
g005684
g017423
g030190
g000207
g000500
g008546
g013056
g003838
g007282
g006243
g001997
g001783
g006221
g008636
g006003
g011232
g018373
g009960
g028498
g003653
g001330
g010065
g029595
g014032
g005075
g035018
g015358
g006504
g006993
g008338
g018849
g002678
g010661
g016458
g006444
g005877
g020495
g000866
g003019
g027080
g024038
g016032
g007543
g004298
g008425
